,listing,price,brand,size
182,"Tory Burch Blush Leather Crossbody handbag luxury, high end smooth sleek classic",299.0,Tory Burch,OS
183,Pepsi Cola Traverse Tan Leather Cord Organizer with Pocket,20.0,Pepsi,OS
184,Coach Poppy Graffiti Wristlet,60.0,Coach,OS
185,Dooney & Bourke Wexford Pebble Leather Bitsy Zip Satchel Crossbody,175.0,Dooney,OS
186,"Michael Kors Scarlett Med Satchel & Matching Wallet Set Black/Sth Pacific Blue
          
      NWT",215.0,Michael Kors,OS
187,"NWT Dooney & Bourke Large Ostrich Embossed Italian Leather Tote: Black & Tan
          
      NWT",225.0,No Brand Listed,No Size Listed
188,Tan Large Crossbody Bag$Mossimo Supply Co.,20.0,Mossimo Supply Co,OS
189,"Tiffany & Fred Paris Woven Leather Top Handle Crossbody Satchel Bag - Burgundy
          
      NWT",199.0,Tiffany,No Size Listed
190,Coach Emery Crossbody Bag,225.0,Coach,OS
191,Authentic Rebecca Minkoff Mini Sydney Snake Embossed Leather Crossbody Purse Bag,32.0,Rebecca Minkoff,OS
192,Vintage Mary Frances Velvet Butterfly Bag Purse Chain Strap Beaded Art Piece,125.0,Mary Frances,No Size Listed
193,Kate Spade Vibrant Pink Cosmetic Case for Makeup or accessories,29.0,kate spade,OS
194,Adrienne Vittadini Brown Quilted Sling Crossbody Bag | Like New Condition,42.0,Adrienne Vittadini,OS
195,Vera Wang White Leather Shoulder Bag,20.0,Simply Vera Vera Wang,OS
196,Helle comfort romu's purse‎ spain,14.0,romu,OS
197,"Vera Bradley Mini Andi Crossbody-Tropical Paradise
          
      Boutique",60.0,Vera Bradley,OS
198,"Killstar x Wizard of Oz Collab Truly Wicked Book Handbag Purse Embroidered NWT
          
      NWT",55.0,Killstar,OS
199,"Loungefly Finding Nemo Crush Squirt Turtle Crossbody Bag & Coin Purse Set
          
      NWT",125.0,Loungefly,OS
200,AUTH Christian Dior Oblique Trotter Logo Jewelry Bijoux Case Wallet Clutch,600.0,Dior,OS
201,Etienne Aigner Convertible Clutch/Wallet & Crossbody Bag,40.0,Etienne Aigner,No Size Listed
202,"MATT & NAT vegan cream purse, used, it needs‎ cleaning, great quality",23.0,Matt,OS
203,Gucci Beige and Blue Monogram Duffle Bag,576.0,Gucci,OS
204,Minimalist Green Leather Saddle Shoulder Bag with Silver Hoop  & Chain Strap‎,30.0,No Brand Listed,No Size Listed
205,Be considerate with your offers!!!!,100.0,Gucci,OS
206,Coach F15447 Large Ashley Black Satchel,169.0,Coach,OS
207,Aldo Black and Gold Patterned Crossbody Bag,85.0,Aldo,OS
208,"Jen & Co Beige Wallet Wristlet – Card Slots, Coin Pouch, Key Ring",10.0,Jen Co,OS
209,Farmhouse‎ is My Style Floral Patchwork Tote Bag,18.0,Farmhouse Is My Style,OS
210,Gianni Bini Black Tote Bag – Gold Toned Hardware – Stylish Shoulder Bag Purse,45.0,Gianni Bini,OS
211,"Women’s Velvet Wallet, Wristlet,NWOT.",25.0,No Brand Listed,No Size Listed
212,Vintage La Regale Made in Hong Kong Hand Beaded Crystal Purse,36.0,La Regale,OS
213,Athleta Beach Bag Gym Bag Tote Bag Blue Ombre Canvas Shopping Bag 18.5x12,15.0,Athleta,OS
214,"Gucci GG Canvas Tote Bag,  in good condition",600.0,Gucci,OS
215,Vera Bradley Small Flowered Cosmetic bag,15.0,Vera Bradley,OS
216,Versatile Cotton Tote Bag for Women - Stylish Design with Easy Zipper Access,30.0,No Brand Listed,No Size Listed
217,Michael Kors Hayes Pale Gold Large Leather Satchel,79.0,Michael Kors,OS
218,"Kate Spade Sam Icon Green Gingham printed small Backpack NWT
          
      NWT",89.0,kate spade,OS
219,Valentino Garavani Rockstud Two Way – ORO Red Colorway – With Accessory Set,1275.0,Valentino Garavani,OS
220,"Blue and Brown Teddy Bear Crossbody Bag
          
      NWT",150.0,Henney Bear London,OS
221,y2k Western Yallternative Mobwife Coastal GrandmotherBrown Patchwork Leather Bag,65.0,No Brand Listed,No Size Listed
222,Coach Off White Pebble Grain Leather Purse,79.0,Coach,OS
223,Victoria’s Secret “Hello Bombshell“ tote bag,10.0,Victoria,OS
224,Coach Gold Signature Gallery Tote Bag With Studs,69.0,Coach,OS
225,JLo ignite gold wristlet,15.0,Jennifer Lopez,OS
226,Disney Parks Mickey & Minnie Holiday Tote,45.0,Disney,OS
227,Diane Von Furstenberg Satin Color block Purse,28.0,Diane Von Furstenberg,OS
228,Lionel Crossbody Purse,9.0,Lionel,OS
229,Michael Kors brown medium tote with gold tone hardwares and accents.,39.0,Michael Kors,OS
230,Michael Kors Camel Leather Satchel,50.0,Michael Kors,OS
231,"Kurt Geiger Chelsea Shopper Tote Bag.
          
      NWT",290.0,Kurt Geiger,OS
232,AUTHENTIC PRADA MIU MIU VINTAGE GRANDE SWIRL LEATHER SATCHEL PURSE HANDBAG,599.0,Miu Miu,OS
233,Shipping label,5.0,No Brand Listed,No Size Listed
234,GUCCI SMALL SUPREME EDEN BACKPACK,330.0,Gucci,Approximately 12x9
235,B. Makowsky Pebbled Leather Chunky Hardware Crossbody Bag   Indie Sleeze,29.0,b,OS
236,orYANY - Aquarius leather zipper tote -EUC,125.0,orYANY,No Size Listed
237,"NEW Kurt Geiger Large Southbank Zip Top Raffia Beach/Shopper: Blue/multi Swirl
          
      NWT",165.0,Kurt Geiger,OS
238,Vintage brown little falls‎ leather zip pouch travel luggage coin makeup,11.0,No Brand Listed,No Size Listed
239,"Gilda Paris Quilted Weekender Bag NWT
          
      NWT",75.0,No Brand Listed,No Size Listed
